,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_k,param_sim_options,param_bsl_options,model
0,1.5405166265214458,1.5392322411781756,1.5466737699506854,1.5421408792167688,0.0032478439239718316,276,1.1605329034639325,1.1604458306151422,1.1608507016469,1.1606098119086583,0.00017400444389302432,253,3.2513190110524497,0.6074464049503849,0.36368600527445477,0.016377404690271775,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 0}, 'bsl_options': {'method': 'als', 'reg': 0.02, 'learning_rate': 0.005, 'n_epochs': 20}}",101,"{'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 0}","{'method': 'als', 'reg': 0.02, 'learning_rate': 0.005, 'n_epochs': 20}",KNNBaseline
1,1.5405166265214458,1.5392322411781756,1.5466737699506854,1.5421408792167688,0.0032478439239718316,271,1.1605329034639325,1.1604458306151422,1.1608507016469,1.1606098119086583,0.00017400444389302432,269,2.6231691042582193,0.06798756734518951,0.4373425642649333,0.12511083447790425,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 0}, 'bsl_options': {'method': 'als', 'reg': 0.02, 'learning_rate': 0.05, 'n_epochs': 20}}",101,"{'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 0}","{'method': 'als', 'reg': 0.02, 'learning_rate': 0.05, 'n_epochs': 20}",KNNBaseline
2,1.5405166265214458,1.5392322411781756,1.5466737699506854,1.5421408792167688,0.0032478439239718316,274,1.1605329034639325,1.1604458306151422,1.1608507016469,1.1606098119086583,0.00017400444389302432,268,2.847386678059896,0.33754564960619016,0.35141738255818683,0.029732187194080252,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 0}, 'bsl_options': {'method': 'als', 'reg': 0.08, 'learning_rate': 0.005, 'n_epochs': 20}}",101,"{'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 0}","{'method': 'als', 'reg': 0.08, 'learning_rate': 0.005, 'n_epochs': 20}",KNNBaseline
3,1.5405166265214458,1.5392322411781756,1.5466737699506854,1.5421408792167688,0.0032478439239718316,259,1.1605329034639325,1.1604458306151422,1.1608507016469,1.1606098119086583,0.00017400444389302432,267,2.614105701446533,0.11755327407983168,0.41166313489278156,0.06819205048645917,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 0}, 'bsl_options': {'method': 'als', 'reg': 0.08, 'learning_rate': 0.05, 'n_epochs': 20}}",101,"{'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 0}","{'method': 'als', 'reg': 0.08, 'learning_rate': 0.05, 'n_epochs': 20}",KNNBaseline
4,1.5405166265214458,1.5392322411781756,1.5466737699506854,1.5421408792167688,0.0032478439239718316,273,1.1605329034639325,1.1604458306151422,1.1608507016469,1.1606098119086583,0.00017400444389302432,266,2.9662594000498452,0.16216946691971654,0.40705402692159015,0.06367462339078178,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 0}, 'bsl_options': {'method': 'als', 'reg': 0.5, 'learning_rate': 0.005, 'n_epochs': 20}}",101,"{'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 0}","{'method': 'als', 'reg': 0.5, 'learning_rate': 0.005, 'n_epochs': 20}",KNNBaseline
5,1.5405166265214458,1.5392322411781756,1.5466737699506854,1.5421408792167688,0.0032478439239718316,272,1.1605329034639325,1.1604458306151422,1.1608507016469,1.1606098119086583,0.00017400444389302432,265,2.728604316711426,0.2756920103008359,0.3829946517944336,0.06627990604831786,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 0}, 'bsl_options': {'method': 'als', 'reg': 0.5, 'learning_rate': 0.05, 'n_epochs': 20}}",101,"{'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 0}","{'method': 'als', 'reg': 0.5, 'learning_rate': 0.05, 'n_epochs': 20}",KNNBaseline
6,1.5405166265214458,1.5392322411781756,1.5466737699506854,1.5421408792167688,0.0032478439239718316,275,1.1605329034639325,1.1604458306151422,1.1608507016469,1.1606098119086583,0.00017400444389302432,264,2.582101027170817,0.008817129691922549,0.3406715393066406,0.014057094256201698,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 10}, 'bsl_options': {'method': 'als', 'reg': 0.02, 'learning_rate': 0.005, 'n_epochs': 20}}",101,"{'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 10}","{'method': 'als', 'reg': 0.02, 'learning_rate': 0.005, 'n_epochs': 20}",KNNBaseline
7,1.5405166265214458,1.5392322411781756,1.5466737699506854,1.5421408792167688,0.0032478439239718316,270,1.1605329034639325,1.1604458306151422,1.1608507016469,1.1606098119086583,0.00017400444389302432,270,2.553830067316691,0.03044413811892197,0.3831312656402588,0.0433947335255118,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 10}, 'bsl_options': {'method': 'als', 'reg': 0.02, 'learning_rate': 0.05, 'n_epochs': 20}}",101,"{'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 10}","{'method': 'als', 'reg': 0.02, 'learning_rate': 0.05, 'n_epochs': 20}",KNNBaseline
8,1.5405166265214458,1.5392322411781756,1.5466737699506854,1.5421408792167688,0.0032478439239718316,269,1.1605329034639325,1.1604458306151422,1.1608507016469,1.1606098119086583,0.00017400444389302432,255,2.531123081843058,0.020167693985691057,0.36893773078918457,0.017644497312763876,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 10}, 'bsl_options': {'method': 'als', 'reg': 0.08, 'learning_rate': 0.005, 'n_epochs': 20}}",101,"{'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 10}","{'method': 'als', 'reg': 0.08, 'learning_rate': 0.005, 'n_epochs': 20}",KNNBaseline
9,1.5405166265214458,1.5392322411781756,1.5466737699506854,1.5421408792167688,0.0032478439239718316,268,1.1605329034639325,1.1604458306151422,1.1608507016469,1.1606098119086583,0.00017400444389302432,262,3.0971250534057617,0.0669777796281143,0.6179647445678711,0.16471465833548188,"{'k': 101, 'sim_options': {'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 10}, 'bsl_options': {'method': 'als', 'reg': 0.08, 'learning_rate': 0.05, 'n_epochs': 20}}",101,"{'name': 'pearson', 'min_support': 5, 'user_based': False, 'shrinkage': 10}","{'method': 'als', 'reg': 0.08, 'learning_rate': 0.05, 'n_epochs': 20}",KNNBaseline
